Property_ID,Property_Name,Address,City,State,Zip_Code,Units_Total,Units_Occupied,Units_Vacant,Avg_Rent_per_Unit,Total_Rent_Collected,Occupancy_Rate,Vacancy_Rate,Property_Type,Year_Built,Last_Inspection_Date,Next_Inspection_Date,Maintenance_Issues_Open,Maintenance_Issues_Closed,Manager_Name,Manager_Email,Manager_Phone,Has_Parking,Has_Laundry,Has_Elevator,Pet_Friendly,Fire_Safety_Compliant
P1000,"Smith, Copeland and Williams",738 West Plaza Suite 207,Zacharyview,AL,99372,47,30,17,1570.25,47107.5,63.83,36.17,Office,1998,2023-11-03,2026-04-19,11,29,Devin Moore,aford@gmail.com,2681258712,Yes,No,No,No,Yes
P1001,Long-Dickson,74937 Bailey Junctions,Garciastad,PA,71634,43,31,12,2023.78,62737.18,72.09,27.91,Office,1984,2023-09-14,2025-10-28,7,25,Michael Marks MD,annasheppard@yahoo.com,346.570.3475x689,No,No,Yes,No,No
P1002,Wallace-Oneal,690 Williams Springs Suite 568,Terrimouth,GA,52330,148,139,9,1052.75,146332.25,93.92,6.08,Multifamily,1969,2024-05-08,2025-08-31,0,16,Gary Wilson,davisholly@cook.info,001-852-631-1023x775,No,No,No,No,No
P1003,Wilkins Ltd,25941 Hart Branch Suite 730,Jacobsberg,OK,66349,74,68,6,1412.85,96073.8,91.89,8.11,Office,1970,2023-09-24,2025-09-08,10,8,Kelly Wilson,pbarrett@gmail.com,(426)588-5549,No,Yes,Yes,No,Yes
P1004,Clark Group,31450 Villanueva Falls Suite 226,Lake Robertfort,MI,19460,54,50,4,1297.55,64877.5,92.59,7.41,Retail,1971,2024-06-13,2026-01-29,3,25,Madison Montgomery,hjohnson@yahoo.com,134-106-8518,Yes,No,Yes,Yes,Yes
P1005,"Smith, Scott and Willis",03123 Felicia Shoals,Port Rita,KY,52385,38,28,10,1744.05,48833.4,73.68,26.32,Office,2013,2024-11-29,2025-09-23,10,2,Maria Frost,jasmine29@hotmail.com,9644577966,No,Yes,Yes,No,No
P1006,Gross-Benson,500 Andrew Roads,Deantown,MN,38776,16,16,0,2034.12,32545.92,100.0,0.0,Office,2004,2023-11-02,2025-10-03,4,23,Sandra Russell,fbrown@gmail.com,670-110-6065x92288,No,No,Yes,No,No
P1007,Woods Inc,010 Megan Ramp Suite 120,North Richard,MI,59751,43,31,12,2488.35,77138.85,72.09,27.91,Office,2009,2024-05-25,2026-02-23,4,13,Michael Buckley,joshuaweiss@patton.com,889.633.8295x957,Yes,Yes,Yes,Yes,No
P1008,"Morales, Anthony and Garcia",95075 Philip Lodge Apt. 448,South Stephen,OH,13223,13,13,0,2167.79,28181.27,100.0,0.0,Multifamily,1999,2024-07-11,2025-10-04,1,2,Jordan Jones,crobinson@thomas-le.com,+1-082-931-9696x7112,Yes,No,Yes,Yes,No
P1009,Harrison-Castro,125 Kurt Gateway Apt. 700,New Shannonhaven,IL,69755,101,81,20,2284.95,185080.95,80.2,19.8,Office,2011,2024-11-23,2025-10-29,9,13,Krista Bradley,eberry@smith.net,729.447.3720x46695,Yes,Yes,No,No,No
P1010,Reilly Ltd,75499 Trevor Lock,Gloriaville,VA,39747,70,51,19,2024.83,103266.33,72.86,27.14,Industrial,2017,2024-09-24,2026-02-20,15,19,Robert Meadows,julie04@martinez-ortega.net,742-128-3960x646,Yes,No,No,Yes,No
P1011,Davis-Singh,000 Megan Centers,Laramouth,MD,36087,92,55,37,2139.79,117688.45,59.78,40.22,Industrial,1970,2024-08-19,2025-12-15,4,26,Maria Thompson,hansenmatthew@hotmail.com,001-833-301-9682x75034,No,No,No,No,Yes
P1012,Bonilla Group,769 Trujillo Vista,Alvinborough,TX,51593,14,9,5,2247.23,20225.07,64.29,35.71,Industrial,2006,2025-01-24,2026-03-17,15,5,Donald Jackson,stephaniestevens@jones.com,(713)585-6952x0235,Yes,Yes,Yes,No,Yes
P1013,"Bradley, Ellis and Jones",95216 Diaz Vista,Brownbury,TN,08582,54,38,16,2325.64,88374.32,70.37,29.63,Retail,1988,2025-01-26,2026-01-14,14,17,John Walker,zachary05@hotmail.com,158.438.7864x49201,No,Yes,No,Yes,No
P1014,"Cooke, Wright and King",785 Joy Overpass,South Tammyland,ND,20828,77,53,24,863.7,45776.1,68.83,31.17,Retail,1962,2024-08-09,2025-10-20,0,9,Ruth Molina,patrickleonard@galvan-perez.org,001-360-332-8617x97402,Yes,Yes,Yes,Yes,Yes
P1015,Miller-Hutchinson,1400 Dunn Expressway Apt. 728,Elizabethview,NV,05154,23,20,3,1401.19,28023.8,86.96,13.04,Office,1986,2025-04-01,2025-11-20,2,10,Mrs. Kelly Mcgee,kim14@yahoo.com,334-435-5662x92061,No,Yes,No,No,Yes
P1016,Macdonald-Cline,6814 Oneill Mountains Suite 398,West Donald,SC,80404,42,32,10,2477.3,79273.6,76.19,23.81,Industrial,1983,2023-11-25,2025-07-24,0,3,Terry Garcia,zfuentes@hotmail.com,(369)788-0870x32858,No,No,No,No,No
P1017,Medina-Guerra,94734 Karen Extension,Crosstown,AR,53053,117,114,3,2827.38,322321.32,97.44,2.56,Multifamily,2003,2025-05-06,2026-05-01,8,2,Edwin Clark,hjones@gmail.com,001-622-276-8919x2426,Yes,No,Yes,Yes,Yes
P1018,"Duffy, Moran and Brown",3036 Theresa Rapid Apt. 808,South Michael,KY,85152,144,124,20,1572.25,194959.0,86.11,13.89,Industrial,2006,2025-02-08,2025-08-12,6,10,George Fitzpatrick,zsmith@yahoo.com,+1-732-279-1829x35172,No,No,Yes,Yes,Yes
P1019,Kim-Summers,49334 Amber Trafficway Suite 423,East Alejandro,MI,41264,39,29,10,1199.09,34773.61,74.36,25.64,Industrial,1975,2023-08-15,2025-08-21,4,21,Joseph Sanchez,keith54@hotmail.com,(084)989-3689x0211,No,Yes,Yes,No,Yes
P1020,Jackson and Sons,09779 Simmons Ports Apt. 040,Melissashire,AZ,75847,26,21,5,1115.15,23418.15,80.77,19.23,Retail,1988,2024-04-20,2026-04-01,13,9,Cole Rivas,washingtonalbert@hotmail.com,(481)263-4133,Yes,Yes,No,No,Yes
P1021,Nash LLC,08411 Angela Circles Apt. 643,Sampsonborough,NV,51723,131,93,38,2246.16,208892.88,70.99,29.01,Retail,1999,2024-09-01,2026-06-11,3,9,Christine Gallagher,smoore@gmail.com,539.037.3364x29620,Yes,No,No,No,No
P1022,Casey Group,509 Tammy Fall,Beckerberg,MO,04352,124,109,15,953.09,103886.81,87.9,12.1,Multifamily,1978,2024-06-25,2026-01-28,9,14,Deanna Cuevas,riverakaren@medina.com,001-192-390-1991,No,No,No,Yes,No
P1023,Murphy LLC,13908 Marilyn Road,East Mitchell,WY,58849,102,81,21,2430.13,196840.53,79.41,20.59,Retail,2008,2025-02-28,2026-04-28,7,19,Mary Garcia,gelliott@nolan.com,915.061.8497x5808,Yes,Yes,No,No,No
P1024,"Arellano, Frazier and Vincent",670 Bradshaw Crossroad,East Heather,SD,29996,141,133,8,2937.98,390751.34,94.33,5.67,Multifamily,2007,2023-10-18,2025-10-30,9,22,Lisa Harrison,eileenrice@gmail.com,+1-667-173-8968x5169,Yes,Yes,Yes,Yes,No
P1025,Caldwell Group,655 Burton Loop,South Mary,LA,85619,37,31,6,1001.87,31057.97,83.78,16.22,Retail,2010,2023-07-06,2025-08-12,3,13,Joseph Graves,hailey51@gmail.com,(784)275-4001x741,Yes,No,No,Yes,Yes
P1026,Rodriguez-Gibson,9869 Carpenter Freeway Suite 832,Lake Mary,SD,19344,125,99,26,1967.06,194738.94,79.2,20.8,Industrial,1988,2024-03-15,2025-11-08,1,5,Michael Jensen,barrettsteven@gmail.com,(702)030-2949,Yes,No,No,Yes,Yes
P1027,"Saunders, Kim and Gonzalez",33164 Owens Roads Apt. 194,Patrickland,WY,60921,138,111,27,1627.63,180666.93,80.43,19.57,Industrial,1974,2025-01-29,2025-09-22,7,22,Mike Johnson,williamsjennifer@yahoo.com,(612)676-1582,Yes,No,No,No,No
P1028,Lutz LLC,79353 Sabrina Road,West Davidberg,NC,92385,66,56,10,1798.02,100689.12,84.85,15.15,Multifamily,1994,2024-01-12,2026-01-15,13,14,Jeffrey Robertson,sbailey@yahoo.com,001-251-271-3115,No,No,No,No,No
P1029,"Perkins, Mendoza and Miller",53220 Smith Courts Apt. 742,New Lisafort,WI,55828,21,17,4,1146.3,19487.1,80.95,19.05,Multifamily,1975,2023-06-29,2026-01-23,14,11,Alex Freeman,joshua91@gmail.com,034.382.1892x74775,Yes,No,No,Yes,Yes
P1030,"Bishop, Mccullough and Goodwin",541 Hicks Locks,Ricardoville,WY,25938,143,104,39,1485.6,154502.4,72.73,27.27,Retail,1979,2024-12-30,2025-10-06,2,14,Charles Sullivan,john11@roberts-brown.com,200.969.9119x85756,No,Yes,Yes,Yes,No
P1031,"Frederick, Nelson and Preston",0096 Padilla Dam,Johnsonton,NC,22160,87,68,19,1513.64,102927.52,78.16,21.84,Retail,2011,2024-04-12,2025-10-30,3,1,Ashley Cox,hday@chavez.biz,001-561-477-8830x32120,No,Yes,Yes,No,Yes
P1032,Perez-Alvarez,9525 Terri Cape Apt. 404,West Andrew,CA,12911,127,99,28,2871.1,284238.9,77.95,22.05,Multifamily,2010,2023-06-29,2026-03-22,15,23,Cynthia Robles,jeffreyvaughn@gmail.com,(636)342-1849x04467,No,No,No,No,Yes
P1033,"Smith, Johnson and Maldonado",568 Williams Ville,Brownview,ID,95708,17,17,0,2111.69,35898.73,100.0,0.0,Multifamily,1990,2025-01-16,2025-11-13,0,27,Connor Henry,ljensen@edwards.com,(104)053-0077x17055,Yes,No,No,Yes,Yes
P1034,Bray-Kennedy,765 Karen Islands Suite 669,Phelpschester,KS,96170,25,22,3,2743.35,60353.7,88.0,12.0,Industrial,2017,2024-12-17,2026-02-21,7,29,Steven Cameron,boyerkaren@hotmail.com,(201)951-9876x8531,Yes,Yes,Yes,No,No
